Período,Região,Estado,Linhagens relevantes,Quantidade,Percentual_Frequency,Variante
2020-04-01,Centro-oeste,Distrito Federal,Outras,2,100.0,Outras
2020-04-01,Centro-oeste,Goiás,Outras,7,100.0,Outras
2020-04-01,Centro-oeste,Mato Grosso,Outras,3,100.0,Outras
2020-04-01,Centro-oeste,Mato Grosso do Sul,Outras,7,100.0,Outras
2020-04-01,Nordeste,Alagoas,Outras,3,100.0,Outras
2020-04-01,Nordeste,Bahia,Outras,65,100.0,Outras
2020-04-01,Nordeste,Ceará,Outras,15,100.0,Outras
2020-04-01,Nordeste,Maranhão,Outras,17,100.0,Outras
2020-04-01,Nordeste,Paraíba,Outras,26,100.0,Outras
2020-04-01,Nordeste,Pernambuco,Outras,72,100.0,Outras
2020-04-01,Nordeste,Rio Grande do Norte,Outras,12,100.0,Outras
2020-04-01,Nordeste,Sergipe,Outras,22,100.0,Outras
2020-04-01,Norte,Acre,Outras,46,100.0,Outras
2020-04-01,Norte,Amapá,Outras,10,100.0,Outras
2020-04-01,Norte,Amazonas,Outras,39,100.0,Outras
2020-04-01,Norte,Pará,Outras,37,100.0,Outras
2020-04-01,Norte,Roraima,Outras,2,100.0,Outras
2020-04-01,Sudeste,Espírito Santo,Outras,2,100.0,Outras
2020-04-01,Sudeste,Minas Gerais,Outras,30,100.0,Outras
2020-04-01,Sudeste,Rio de Janeiro,Outras,320,99.68847352024922,Outras
2020-04-01,Sudeste,Rio de Janeiro,P.1.* (Gama),1,0.3115264797507788,Gama
2020-04-01,Sudeste,São Paulo,Outras,555,100.0,Outras
2020-04-01,Sul,Paraná,Outras,24,100.0,Outras
2020-04-01,Sul,Rio Grande do Sul,Outras,49,100.0,Outras
2020-04-01,Sul,Santa Catarina,Outras,4,100.0,Outras
2021-04-01,Centro-oeste,Distrito Federal,Outras,1,1.9607843137254901,Alfa
2021-04-01,Centro-oeste,Distrito Federal,P.1.* (Gama),50,98.0392156862745,Gama
2021-04-01,Centro-oeste,Goiás,Outras,3,1.4705882352941175,Alfa
2021-04-01,Centro-oeste,Goiás,B.1.617.2+AY.* (Delta),3,1.4705882352941175,Delta
2021-04-01,Centro-oeste,Goiás,P.1.* (Gama),198,97.05882352941177,Gama
2021-04-01,Centro-oeste,Mato Grosso,Outras,1,5.0,Alfa
2021-04-01,Centro-oeste,Mato Grosso,B.1.617.2+AY.* (Delta),2,10.0,Delta
2021-04-01,Centro-oeste,Mato Grosso,P.1.* (Gama),17,85.0,Gama
2021-04-01,Centro-oeste,Mato Grosso do Sul,Outras,6,12.76595744680851,Outras
2021-04-01,Centro-oeste,Mato Grosso do Sul,P.1.* (Gama),41,87.2340425531915,Gama
2021-04-01,Nordeste,Alagoas,P.1.* (Gama),60,100.0,Gama
2021-04-01,Nordeste,Bahia,Outras,1,0.35335689045936397,Alfa
2021-04-01,Nordeste,Bahia,Outras,5,1.76678445229682,Outras
2021-04-01,Nordeste,Bahia,P.1.* (Gama),277,97.87985865724382,Gama
2021-04-01,Nordeste,Ceará,Outras,1,0.33112582781456956,Outras
2021-04-01,Nordeste,Ceará,P.1.* (Gama),301,99.66887417218543,Gama
2021-04-01,Nordeste,Maranhão,P.1.* (Gama),54,100.0,Gama
2021-04-01,Nordeste,Paraíba,P.1.* (Gama),25,100.0,Gama
2021-04-01,Nordeste,Pernambuco,Outras,2,1.2903225806451613,Alfa
2021-04-01,Nordeste,Pernambuco,Outras,2,1.2903225806451613,Outras
2021-04-01,Nordeste,Pernambuco,P.1.* (Gama),151,97.41935483870968,Gama
2021-04-01,Nordeste,Piauí,P.1.* (Gama),20,100.0,Gama
2021-04-01,Nordeste,Rio Grande do Norte,Outras,6,6.8181818181818175,Outras
2021-04-01,Nordeste,Rio Grande do Norte,P.1.* (Gama),82,93.18181818181817,Gama
2021-04-01,Nordeste,Sergipe,P.1.* (Gama),1,100.0,Gama
2021-04-01,Norte,Acre,B.1.617.2+AY.* (Delta),1,1.7857142857142856,Delta
2021-04-01,Norte,Acre,P.1.* (Gama),55,98.21428571428571,Gama
2021-04-01,Norte,Amapá,B.1.617.2+AY.* (Delta),1,100.0,Delta
2021-04-01,Norte,Amazonas,Outras,1,0.5813953488372093,Alfa
2021-04-01,Norte,Amazonas,BA.1.* (Omicron),1,0.5813953488372093,Omicron
2021-04-01,Norte,Amazonas,Outras,1,0.5813953488372093,Outras
2021-04-01,Norte,Amazonas,P.1.* (Gama),169,98.25581395348837,Gama
2021-04-01,Norte,Pará,P.1.* (Gama),37,100.0,Gama
2021-04-01,Norte,Roraima,P.1.* (Gama),4,100.0,Gama
2021-04-01,Norte,Tocantins,P.1.* (Gama),18,100.0,Gama
2021-04-01,Sudeste,Espírito Santo,Outras,6,15.0,Alfa
2021-04-01,Sudeste,Espírito Santo,Outras,4,10.0,Outras
2021-04-01,Sudeste,Espírito Santo,P.1.* (Gama),30,75.0,Gama
2021-04-01,Sudeste,Minas Gerais,Outras,15,7.389162561576355,Alfa
2021-04-01,Sudeste,Minas Gerais,Outras,6,2.955665024630542,Outras
2021-04-01,Sudeste,Minas Gerais,P.1.* (Gama),182,89.65517241379311,Gama
2021-04-01,Sudeste,Rio de Janeiro,Outras,20,1.834862385321101,Alfa
2021-04-01,Sudeste,Rio de Janeiro,Outras,21,1.926605504587156,Outras
2021-04-01,Sudeste,Rio de Janeiro,P.1.* (Gama),1049,96.23853211009174,Gama
2021-04-01,Sudeste,São Paulo,Outras,206,3.761869978086194,Alfa
2021-04-01,Sudeste,São Paulo,B.1.617.2+AY.* (Delta),1,0.018261504747991236,Delta
2021-04-01,Sudeste,São Paulo,Outras,209,3.8166544923301684,Outras
2021-04-01,Sudeste,São Paulo,P.1.* (Gama),5060,92.40321402483565,Gama
2021-04-01,Sul,Paraná,Outras,20,3.4013605442176873,Alfa
2021-04-01,Sul,Paraná,B.1.617.2+AY.* (Delta),4,0.6802721088435374,Delta
2021-04-01,Sul,Paraná,Outras,21,3.571428571428571,Outras
2021-04-01,Sul,Paraná,P.1.* (Gama),543,92.3469387755102,Gama
2021-04-01,Sul,Rio Grande do Sul,B.1.617.2+AY.* (Delta),1,0.33333333333333337,Delta
2021-04-01,Sul,Rio Grande do Sul,Outras,15,5.0,Outras
2021-04-01,Sul,Rio Grande do Sul,P.1.* (Gama),284,94.66666666666667,Gama
2021-04-01,Sul,Santa Catarina,Outras,1,0.8264462809917356,Alfa
2021-04-01,Sul,Santa Catarina,BA.1.* (Omicron),1,0.8264462809917356,Omicron
2021-04-01,Sul,Santa Catarina,P.1.* (Gama),119,98.34710743801654,Gama
2022-04-01,Centro-oeste,Distrito Federal,BA.1.* (Omicron),28,60.86956521739131,Omicron
2022-04-01,Centro-oeste,Distrito Federal,BA.2.* (Omicron),18,39.130434782608695,Omicron
2022-04-01,Centro-oeste,Goiás,BA.1.* (Omicron),82,44.086021505376344,Omicron
2022-04-01,Centro-oeste,Goiás,BA.2.* (Omicron),102,54.83870967741935,Omicron
2022-04-01,Centro-oeste,Goiás,Outras,2,1.0752688172043012,Outras
2022-04-01,Centro-oeste,Mato Grosso,BA.1.* (Omicron),2,66.66666666666666,Omicron
2022-04-01,Centro-oeste,Mato Grosso,BA.2.* (Omicron),1,33.33333333333333,Omicron
2022-04-01,Centro-oeste,Mato Grosso do Sul,BA.1.* (Omicron),16,32.0,Omicron
2022-04-01,Centro-oeste,Mato Grosso do Sul,BA.2.* (Omicron),32,64.0,Omicron
2022-04-01,Centro-oeste,Mato Grosso do Sul,Outras,2,4.0,Outras
2022-04-01,Nordeste,Alagoas,BA.1.* (Omicron),1,33.33333333333333,Omicron
2022-04-01,Nordeste,Alagoas,BA.2.* (Omicron),2,66.66666666666666,Omicron
2022-04-01,Nordeste,Bahia,BA.1.* (Omicron),9,37.5,Omicron
2022-04-01,Nordeste,Bahia,BA.2.* (Omicron),14,58.333333333333336,Omicron
2022-04-01,Nordeste,Bahia,Outras,1,4.166666666666666,Outras
2022-04-01,Nordeste,Ceará,BA.1.* (Omicron),4,57.14285714285714,Omicron
2022-04-01,Nordeste,Ceará,BA.2.* (Omicron),3,42.857142857142854,Omicron
2022-04-01,Nordeste,Maranhão,BA.1.* (Omicron),1,50.0,Omicron
2022-04-01,Nordeste,Maranhão,BA.2.* (Omicron),1,50.0,Omicron
2022-04-01,Nordeste,Paraíba,BA.1.* (Omicron),1,7.6923076923076925,Omicron
2022-04-01,Nordeste,Paraíba,BA.2.* (Omicron),12,92.3076923076923,Omicron
2022-04-01,Nordeste,Pernambuco,BA.1.* (Omicron),12,14.117647058823529,Omicron
2022-04-01,Nordeste,Pernambuco,BA.2.* (Omicron),64,75.29411764705883,Omicron
2022-04-01,Nordeste,Pernambuco,BA.4.* (Omicron),9,10.588235294117647,Omicron
2022-04-01,Nordeste,Piauí,BA.1.* (Omicron),4,80.0,Omicron
2022-04-01,Nordeste,Piauí,BA.4.* (Omicron),1,20.0,Omicron
2022-04-01,Nordeste,Rio Grande do Norte,B.1.617.2+AY.* (Delta),1,3.225806451612903,Delta
2022-04-01,Nordeste,Rio Grande do Norte,BA.1.* (Omicron),4,12.903225806451612,Omicron
2022-04-01,Nordeste,Rio Grande do Norte,BA.2.* (Omicron),26,83.87096774193549,Omicron
2022-04-01,Norte,Amazonas,B.1.617.2+AY.* (Delta),2,22.22222222222222,Delta
2022-04-01,Norte,Amazonas,BA.1.* (Omicron),3,33.33333333333333,Omicron
2022-04-01,Norte,Amazonas,BA.2.* (Omicron),4,44.44444444444444,Omicron
2022-04-01,Norte,Pará,BA.1.* (Omicron),5,71.42857142857143,Omicron
2022-04-01,Norte,Pará,BA.2.* (Omicron),2,28.57142857142857,Omicron
2022-04-01,Norte,Rondônia,BA.1.* (Omicron),5,45.45454545454545,Omicron
2022-04-01,Norte,Rondônia,BA.2.* (Omicron),5,45.45454545454545,Omicron
2022-04-01,Norte,Rondônia,Outras,1,9.090909090909092,Outras
2022-04-01,Norte,Tocantins,BA.1.* (Omicron),1,50.0,Omicron
2022-04-01,Norte,Tocantins,BA.2.* (Omicron),1,50.0,Omicron
2022-04-01,Sudeste,Espírito Santo,BA.1.* (Omicron),11,39.285714285714285,Omicron
2022-04-01,Sudeste,Espírito Santo,BA.2.* (Omicron),15,53.57142857142857,Omicron
2022-04-01,Sudeste,Espírito Santo,Outras,2,7.142857142857142,Outras
2022-04-01,Sudeste,Minas Gerais,BA.1.* (Omicron),32,16.41025641025641,Omicron
2022-04-01,Sudeste,Minas Gerais,BA.2.* (Omicron),160,82.05128205128204,Omicron
2022-04-01,Sudeste,Minas Gerais,Outras,3,1.5384615384615385,Outras
2022-04-01,Sudeste,Rio de Janeiro,BA.1.* (Omicron),37,20.108695652173914,Omicron
2022-04-01,Sudeste,Rio de Janeiro,BA.2.* (Omicron),147,79.8913043478261,Omicron
2022-04-01,Sudeste,São Paulo,BA.1.* (Omicron),206,19.180633147113593,Omicron
2022-04-01,Sudeste,São Paulo,BA.2.* (Omicron),860,80.07448789571696,Omicron
2022-04-01,Sudeste,São Paulo,Outras,8,0.74487895716946,Outras
2022-04-01,Sul,Paraná,BA.1.* (Omicron),78,20.207253886010363,Omicron
2022-04-01,Sul,Paraná,BA.2.* (Omicron),302,78.23834196891191,Omicron
2022-04-01,Sul,Paraná,Outras,6,1.5544041450777202,Outras
2022-04-01,Sul,Rio Grande do Sul,BA.1.* (Omicron),61,36.74698795180723,Omicron
2022-04-01,Sul,Rio Grande do Sul,BA.2.* (Omicron),88,53.01204819277109,Omicron
2022-04-01,Sul,Rio Grande do Sul,Outras,17,10.240963855421686,Outras
2022-04-01,Sul,Santa Catarina,BA.1.* (Omicron),50,11.160714285714286,Omicron
2022-04-01,Sul,Santa Catarina,BA.2.* (Omicron),395,88.16964285714286,Omicron
2022-04-01,Sul,Santa Catarina,BA.5.* (Omicron),1,0.2232142857142857,Omicron
2022-04-01,Sul,Santa Catarina,Outras,2,0.4464285714285714,Outras
2023-04-01,Centro-oeste,Distrito Federal,Outras,2,6.25,Omicron
2023-04-01,Centro-oeste,Distrito Federal,Outras,1,3.125,Outras
2023-04-01,Centro-oeste,Distrito Federal,Outras,29,90.625,Omicron
2023-04-01,Centro-oeste,Goiás,BA.5.* (Omicron),1,1.5625,Omicron
2023-04-01,Centro-oeste,Goiás,Outras,10,15.625,Omicron
2023-04-01,Centro-oeste,Goiás,Outras,1,1.5625,Outras
2023-04-01,Centro-oeste,Goiás,Outras,51,79.6875,Omicron
2023-04-01,Centro-oeste,Goiás,Outras,1,1.5625,Omicron
2023-04-01,Centro-oeste,Mato Grosso,Outras,3,100.0,Omicron
2023-04-01,Centro-oeste,Mato Grosso do Sul,BA.5.* (Omicron),2,6.0606060606060606,Omicron
2023-04-01,Centro-oeste,Mato Grosso do Sul,Outras,6,18.181818181818183,Omicron
2023-04-01,Centro-oeste,Mato Grosso do Sul,Outras,1,3.0303030303030303,Outras
2023-04-01,Centro-oeste,Mato Grosso do Sul,Outras,24,72.72727272727273,Omicron
2023-04-01,Nordeste,Alagoas,Outras,12,27.27272727272727,Omicron
2023-04-01,Nordeste,Alagoas,Outras,8,18.181818181818183,Outras
2023-04-01,Nordeste,Alagoas,Outras,23,52.27272727272727,Omicron
2023-04-01,Nordeste,Alagoas,Outras,1,2.272727272727273,Omicron
2023-04-01,Nordeste,Bahia,BA.5.* (Omicron),3,2.2556390977443606,Omicron
2023-04-01,Nordeste,Bahia,Outras,101,75.93984962406014,Omicron
2023-04-01,Nordeste,Bahia,Outras,5,3.7593984962406015,Outras
2023-04-01,Nordeste,Bahia,Outras,23,17.293233082706767,Omicron
2023-04-01,Nordeste,Bahia,Outras,1,0.7518796992481203,Omicron
2023-04-01,Nordeste,Ceará,Outras,9,7.377049180327869,Omicron
2023-04-01,Nordeste,Ceará,Outras,3,2.459016393442623,Outras
2023-04-01,Nordeste,Ceará,Outras,18,14.754098360655737,Omicron
2023-04-01,Nordeste,Ceará,Outras,92,75.40983606557377,Omicron
2023-04-01,Nordeste,Maranhão,Outras,1,6.666666666666667,Omicron
2023-04-01,Nordeste,Maranhão,Outras,7,46.666666666666664,Outras
2023-04-01,Nordeste,Maranhão,Outras,7,46.666666666666664,Omicron
2023-04-01,Nordeste,Paraíba,BA.5.* (Omicron),1,16.666666666666664,Omicron
2023-04-01,Nordeste,Paraíba,Outras,3,50.0,Omicron
2023-04-01,Nordeste,Paraíba,Outras,1,16.666666666666664,Outras
2023-04-01,Nordeste,Paraíba,Outras,1,16.666666666666664,Omicron
2023-04-01,Nordeste,Pernambuco,Outras,8,29.629629629629626,Omicron
2023-04-01,Nordeste,Pernambuco,Outras,10,37.03703703703704,Outras
2023-04-01,Nordeste,Pernambuco,Outras,9,33.33333333333333,Omicron
2023-04-01,Nordeste,Rio Grande do Norte,BA.5.* (Omicron),1,2.7777777777777777,Omicron
2023-04-01,Nordeste,Rio Grande do Norte,Outras,1,2.7777777777777777,Omicron
2023-04-01,Nordeste,Rio Grande do Norte,Outras,5,13.88888888888889,Outras
2023-04-01,Nordeste,Rio Grande do Norte,Outras,28,77.77777777777779,Omicron
2023-04-01,Nordeste,Rio Grande do Norte,Outras,1,2.7777777777777777,Omicron
2023-04-01,Nordeste,Sergipe,Outras,2,33.33333333333333,Omicron
2023-04-01,Nordeste,Sergipe,Outras,4,66.66666666666666,Omicron
2023-04-01,Norte,Acre,Outras,2,10.526315789473683,Omicron
2023-04-01,Norte,Acre,Outras,5,26.31578947368421,Outras
2023-04-01,Norte,Acre,Outras,12,63.1578947368421,Omicron
