,index,LAG,CORRELATION,y,title
0,count,3.0,3.0,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
1,mean,23.0,0.22302279952121043,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
2,std,7.0,0.08790523725657577,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
3,min,16.0,0.132292584975688,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
4,25%,19.5,0.18063395333950638,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
5,50%,23.0,0.2289753217033248,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
6,75%,26.5,0.2683879067939716,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
7,max,30.0,0.3078004918846185,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
8,count,15.0,15.0,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(inversely)"
9,mean,15.6,0.2217746050625457,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(inversely)"
10,std,10.868039644493654,0.0787449979879589,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(inversely)"
11,min,5.0,0.1458114023810708,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(inversely)"
12,25%,6.5,0.1628535452378578,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(inversely)"
13,50%,8.0,0.1880885185270215,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(inversely)"
14,75%,27.5,0.2731901020235594,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(inversely)"
15,max,30.0,0.3817250367595685,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(inversely)"
16,count,2.0,2.0,$R_{0}^{'}$,"$\Delta_{H}^{''}$ lags $R_{0}^{'}$
(inversely)"
17,mean,1.0,0.2055406123829693,$R_{0}^{'}$,"$\Delta_{H}^{''}$ lags $R_{0}^{'}$
(inversely)"
18,std,0.0,0.07859080403995769,$R_{0}^{'}$,"$\Delta_{H}^{''}$ lags $R_{0}^{'}$
(inversely)"
19,min,1.0,0.1499685219074121,$R_{0}^{'}$,"$\Delta_{H}^{''}$ lags $R_{0}^{'}$
(inversely)"
20,25%,1.0,0.17775456714519072,$R_{0}^{'}$,"$\Delta_{H}^{''}$ lags $R_{0}^{'}$
(inversely)"
21,50%,1.0,0.2055406123829693,$R_{0}^{'}$,"$\Delta_{H}^{''}$ lags $R_{0}^{'}$
(inversely)"
22,75%,1.0,0.2333266576207479,$R_{0}^{'}$,"$\Delta_{H}^{''}$ lags $R_{0}^{'}$
(inversely)"
23,max,1.0,0.2611127028585265,$R_{0}^{'}$,"$\Delta_{H}^{''}$ lags $R_{0}^{'}$
(inversely)"
